"","x","m","loc","dens"
"109","A","i",4.75550741721521,-0.0129282105462589
"110","A","i",4.88597855336969,-0.0132232315928195
"111","A","i",5.01644968952416,-0.013516238533872
"112","A","i",5.14692082567863,-0.0138050239663308
"113","A","i",5.27739196183311,-0.0140903628479733
"114","A","i",5.40786309798758,-0.0143727413379621
"115","A","i",5.53833423414205,-0.014649363616819
"116","A","i",5.66880537029652,-0.0149213692705816
"117","A","i",5.799276506451,-0.0151895242424051
"118","A","i",5.92974764260547,-0.0154505509632967
"119","A","i",6.06021877875994,-0.0157058490348155
"120","A","i",6.19068991491442,-0.0159564954538697
"121","A","i",6.32116105106889,-0.0161988522441708
"122","A","i",6.45163218722336,-0.0164344720379857
"123","A","i",6.58210332337784,-0.0166647597232394
"124","A","i",6.71257445953231,-0.0168858474890649
"125","A","i",6.84304559568678,-0.0170993380557931
"126","A","i",6.97351673184126,-0.0173069640689704
"127","A","i",7.10398786799573,-0.0175047618043409
"128","A","i",7.2344590041502,-0.0176942913506486
"129","A","i",7.36493014030468,-0.0178775943031357
"130","A","i",7.49540127645915,-0.0180507423291351
"131","A","i",7.62587241261362,-0.0182151759110269
"132","A","i",7.75634354876809,-0.0183732074023477
"133","A","i",7.88681468492257,-0.0185210668569296
"134","A","i",8.01728582107704,-0.0186600184048675
"135","A","i",8.14775695723151,-0.0187925879647351
"136","A","i",8.27822809338599,-0.0189152735639493
"137","A","i",8.40869922954046,-0.0190291296064881
"138","A","i",8.53917036569493,-0.0191368208756788
"139","A","i",8.66964150184941,-0.0192352053235489
"140","A","i",8.80011263800388,-0.019325119223864
"141","A","i",8.93058377415835,-0.0194092765737845
"142","A","i",9.06105491031283,-0.0194849664100395
"143","A","i",9.1915260464673,-0.0195528233993394
"144","A","i",9.32199718262177,-0.0196155096485701
"145","A","i",9.45246831877624,-0.019670793690494
"146","A","i",9.58293945493072,-0.0197191483704395
"147","A","i",9.71341059108519,-0.0197630756081338
"148","A","i",9.84388172723967,-0.0198008483749676
"149","A","i",9.97435286339414,-0.0198328375788239
"150","A","i",10.1048239995486,-0.0198612742658352
"151","A","i",10.2352951357031,-0.0198849378002091
"152","A","i",10.3657662718576,-0.0199041726829252
"153","A","i",10.496237408012,-0.0199208311122102
"154","A","i",10.6267085441665,-0.0199341793862593
"155","A","i",10.757179680321,-0.0199446213177246
"156","A","i",10.8876508164754,-0.019953530144265
"157","A","i",11.0181219526299,-0.0199606207385313
"158","A","i",11.1485930887844,-0.0199664459912197
"159","A","i",11.2790642249389,-0.0199718128850349
"160","A","i",11.4095353610933,-0.0199768308620069
"161","A","i",11.5400064972478,-0.0199822892296024
"162","A","i",11.6704776334023,-0.0199883587850496
"163","A","i",11.8009487695568,-0.0199954776739699
"164","A","i",11.9314199057112,-0.0200047500676295
"165","A","i",12.0618910418657,-0.0200156619585974
"166","A","i",12.1923621780202,-0.0200289065669557
"167","A","i",12.3228333141747,-0.0200459663599836
"168","A","i",12.4533044503291,-0.0200656184152008
"169","A","i",12.5837755864836,-0.0200887338355626
"170","A","i",12.7142467226381,-0.0201172163195046
"171","A","i",12.8447178587925,-0.0201491367588477
"172","A","i",12.975188994947,-0.020185467497449
"173","A","i",13.1056601311015,-0.0202285513236418
"174","A","i",13.236131267256,-0.0202757838936418
"175","A","i",13.3666024034104,-0.0203281665525503
"176","A","i",13.4970735395649,-0.0203884705039173
"177","A","i",13.6275446757194,-0.0204534757161507
"178","A","i",13.7580158118739,-0.0205241481450649
"179","A","i",13.8884869480283,-0.0206036460406276
"180","A","i",14.0189580841828,-0.0206882211736261
"181","A","i",14.1494292203373,-0.020778750488026
"182","A","i",14.2799003564918,-0.020878706479643
"183","A","i",14.4103714926462,-0.0209839264620875
"184","A","i",14.5408426288007,-0.0210951578056685
"185","A","i",14.6713137649552,-0.0212160837823
"186","A","i",14.8017849011096,-0.0213422645291697
"187","A","i",14.9322560372641,-0.021474291934162
"188","A","i",15.0627271734186,-0.0216159281938092
"189","A","i",15.1931983095731,-0.0217626134067052
"190","A","i",15.3236694457275,-0.0219147735639367
"191","A","i",15.454140581882,-0.0220760933339579
"192","A","i",15.5846117180365,-0.0222420651887303
"193","A","i",15.715082854191,-0.0224129543678512
"194","A","i",15.8455539903454,-0.0225921921392563
"195","A","i",15.9760251264999,-0.0227755056584846
"196","A","i",16.1064962626544,-0.0229630194100134
"197","A","i",16.2369673988088,-0.0231577223962307
"198","A","i",16.3674385349633,-0.0233557626392566
"199","A","i",16.4979096711178,-0.0235571572649917
"200","A","i",16.6283808072723,-0.0237642586065768
"201","A","i",16.7588519434267,-0.0239738191148426
"202","A","i",16.8893230795812,-0.0241858265834898
"203","A","i",17.0197942157357,-0.0244017048550659
"204","A","i",17.1502653518902,-0.0246190850863153
"205","A","i",17.2807364880446,-0.0248379199797587
"206","A","i",17.4112076241991,-0.025058601282526
"207","A","i",17.5416787603536,-0.0252797200850257
"208","A","i",17.6721498965081,-0.0255012204492774
"209","A","i",17.8026210326625,-0.0257224747980252
"210","A","i",17.933092168817,-0.0259429963532609
"211","A","i",18.0635633049715,-0.0261627791900171
"212","A","i",18.1940344411259,-0.0263802229115945
"213","A","i",18.3245055772804,-0.02659569105109
"214","A","i",18.4549767134349,-0.0268092881948565
"215","A","i",18.5854478495894,-0.0270185181484537
"216","A","i",18.7159189857438,-0.0272244945650423
"217","A","i",18.8463901218983,-0.0274274912536684
"218","A","i",18.9768612580528,-0.0276242195224755
"219","A","i",19.1073323942073,-0.0278164211789291
"220","A","i",19.2378035303617,-0.0280045925896571
"221","A","i",19.3682746665162,-0.0281847770806075
"222","A","i",19.4987458026707,-0.0283592080888668
"223","A","i",19.6292169388251,-0.0285286491332718
"224","A","i",19.7596880749796,-0.028688615628022
"225","A","i",19.8901592111341,-0.0288416890377776
"226","A","i",20.0206303472886,-0.0289889329255036
"227","A","i",20.151101483443,-0.0291254844155955
"228","A","i",20.2815726195975,-0.0292541297064429
"229","A","i",20.412043755752,-0.0293762511910095
"230","A","i",20.5425148919065,-0.0294867607904781
"231","A","i",20.6729860280609,-0.029588513390805
"232","A","i",20.8034571642154,-0.0296832131817896
"233","A","i",20.9339283003699,-0.029765697519421
"234","A","i",21.0643994365244,-0.0298387673521787
"235","A","i",21.1948705726788,-0.0299044348894486
"236","A","i",21.3253417088333,-0.0299576056121461
"237","A","i",21.4558128449878,-0.0300009224613918
"238","A","i",21.5862839811422,-0.0300366750663107
"239","A","i",21.7167551172967,-0.0300599669026653
"240","A","i",21.8472262534512,-0.0300732012708203
"241","A","i",21.9776973896057,-0.0300788985816677
"242","A","i",22.1081685257601,-0.0300724732876607
"243","A","i",22.2386396619146,-0.0300560323367103
"244","A","i",22.3691107980691,-0.0300322658658823
"245","A","i",22.4995819342236,-0.0299969922699033
"246","A","i",22.630053070378,-0.0299519913758977
"247","A","i",22.7605242065325,-0.0299000499607792
"248","A","i",22.890995342687,-0.0298374612112414
"249","A","i",23.0214664788414,-0.0297656725774462
"250","A","i",23.1519376149959,-0.0296874854025118
"251","A","i",23.2824087511504,-0.029599715367966
"252","A","i",23.4128798873049,-0.0295034960060536
"253","A","i",23.5433510234593,-0.0294015557192166
"254","A","i",23.6738221596138,-0.0292912572685223
"255","A","i",23.8042932957683,-0.0291734594382284
"256","A","i",23.9347644319228,-0.0290507286387615
"257","A","i",24.0652355680772,-0.0289209772084707
"258","A","i",24.1957067042317,-0.0287848450734133
"259","A","i",24.3261778403862,-0.0286446500812561
"260","A","i",24.4566489765407,-0.0284988364901109
