"","QCno","pr.y","group","metric"
"260",35,0.166666666666667,"Individual Value CUSUM-","Peak Assymetry"
"261",36,0.333333333333333,"Individual Value CUSUM-","Peak Assymetry"
"262",37,0.333333333333333,"Individual Value CUSUM-","Peak Assymetry"
"263",38,0.333333333333333,"Individual Value CUSUM-","Peak Assymetry"
"264",39,0.333333333333333,"Individual Value CUSUM-","Peak Assymetry"
"265",40,0.333333333333333,"Individual Value CUSUM-","Peak Assymetry"
"266",41,0.333333333333333,"Individual Value CUSUM-","Peak Assymetry"
"267",42,0.333333333333333,"Individual Value CUSUM-","Peak Assymetry"
"268",43,0.333333333333333,"Individual Value CUSUM-","Peak Assymetry"
"269",44,0.333333333333333,"Individual Value CUSUM-","Peak Assymetry"
"270",45,0.333333333333333,"Individual Value CUSUM-","Peak Assymetry"
"271",1,0,"Moving Range CUSUM+","Peak Assymetry"
"272",2,0,"Moving Range CUSUM+","Peak Assymetry"
"273",3,0,"Moving Range CUSUM+","Peak Assymetry"
"274",4,0,"Moving Range CUSUM+","Peak Assymetry"
"275",5,0,"Moving Range CUSUM+","Peak Assymetry"
"276",6,0,"Moving Range CUSUM+","Peak Assymetry"
"277",7,0,"Moving Range CUSUM+","Peak Assymetry"
"278",8,0,"Moving Range CUSUM+","Peak Assymetry"
"279",9,0,"Moving Range CUSUM+","Peak Assymetry"
"280",10,0,"Moving Range CUSUM+","Peak Assymetry"
"281",11,0,"Moving Range CUSUM+","Peak Assymetry"
"282",12,-0.166666666666667,"Moving Range CUSUM+","Peak Assymetry"
"283",13,-0.166666666666667,"Moving Range CUSUM+","Peak Assymetry"
"284",14,-0.166666666666667,"Moving Range CUSUM+","Peak Assymetry"
"285",15,-0.166666666666667,"Moving Range CUSUM+","Peak Assymetry"
"286",16,-0.166666666666667,"Moving Range CUSUM+","Peak Assymetry"
"287",17,-0.166666666666667,"Moving Range CUSUM+","Peak Assymetry"
"288",18,-0.166666666666667,"Moving Range CUSUM+","Peak Assymetry"
"289",19,-0.166666666666667,"Moving Range CUSUM+","Peak Assymetry"
"290",20,-0.5,"Moving Range CUSUM+","Peak Assymetry"
